Name,W,L,ERA,G,GS,SV,IP,H,HR,BB,SO
Erik Hanson\hansoer01,0,3,6.24,11,8,0,49,73,10,29,21
Pete Harnisch\harnipe01,14,7,3.14,32,32,0,209,176,24,64,157
Denny Harriger\harride01,0,3,6.75,4,2,0,12,17,1,8,3
Lenny Harris\harrile01,0,0,0,1,0,0,1,0,0,0,1
Pep Harris\harripe01,3,1,4.35,49,0,0,60,55,7,23,34
Reggie Harris\harrire01,0,0,6,6,0,0,6,6,1,2,2
Dean Hartgraves*\hartgde01,0,0,9.53,5,0,0,5.2,10,1,4,4
Shigetoshi Hasegawa\hasegsh01,8,3,3.14,61,0,5,97.1,86,14,32,73
LaTroy Hawkins\hawkila01,7,14,5.25,33,33,0,190.1,227,27,61,105
Jimmy Haynes\hayneji01,11,9,5.09,33,33,0,194.1,229,25,88,134
Mike Heathcott\heathmi03,0,0,3,1,0,0,3,2,0,1,3
Rick Helling\helliri01,20,7,4.41,33,33,0,216.1,209,27,78,164
Rod Henderson\hendero01,0,0,9.82,2,0,0,3.2,5,2,0,1
Oscar Henriquez\henrios01,0,0,8.55,15,0,0,20,26,4,12,19
Butch Henry*\henrybu01,0,0,4,2,2,0,9,8,2,3,6
Doug Henry\henrydo01,8,2,3.04,59,0,2,71,55,9,35,59
Pat Hentgen\hentgpa01,12,11,5.17,29,29,0,177.2,208,28,69,94
Felix Heredia*\heredfe01,3,3,5.06,71,2,2,58.2,57,2,38,54
Felix Heredia*\heredfe01,0,3,5.49,41,2,2,41,38,1,32,38
Felix Heredia*\heredfe01,3,0,4.08,30,0,0,17.2,19,1,6,16
Gil Heredia\heredgi01,3,3,2.74,8,6,0,42.2,43,4,3,27
Dustin Hermanson\hermadu01,14,11,3.13,32,30,0,187,163,21,56,154
Livan Hernandez\hernali01,10,12,4.72,33,33,0,234.1,265,37,104,162
Orlando Hernandez\hernaor01,12,4,3.13,21,21,0,141,113,11,52,131
Roberto Hernandez\hernaro01,2,6,4.04,67,0,26,71.1,55,5,41,55
Xavier Hernandez\hernaxa01,6,6,3.57,46,0,1,58,43,5,30,41
Orel Hershiser\hershor01,11,10,4.41,34,34,0,202,200,22,85,126
Ken Hill\hillke01,9,6,4.98,19,19,0,103,123,6,47,57
Sterling Hitchcock*\hitchst01,9,7,3.93,39,27,1,176.1,169,29,48,158
Trevor Hoffman\hoffmtr01,4,2,1.48,66,0,53,73,41,2,21,86
David Holdridge\holdrda01,0,0,4.05,7,0,0,6.2,6,0,4,6
Darren Holmes\holmeda01,0,3,3.33,34,0,2,51.1,53,4,14,31
Mike Holtz*\holtzmi01,2,2,4.75,53,0,1,30.1,38,0,15,29
Mark Holzemer*\holzema01,1,0,5.59,13,0,0,9.2,13,1,3,3
Bob Howry\howrybo01,0,3,3.15,44,0,9,54.1,37,7,19,51
John Hudek\hudekjo01,5,6,3.09,58,0,0,64,50,8,47,68
John Hudek\hudekjo01,1,4,4,28,0,0,27,23,2,19,28
John Hudek\hudekjo01,4,2,2.43,30,0,0,37,27,6,28,40
Joe Hudson\hudsojo02,0,0,162,1,0,0,0.1,2,0,4,0
Mark Hutton\huttoma01,0,1,7.41,10,2,0,17,24,2,17,3
Hideki Irabu\irabuhi01,13,9,4.06,29,28,0,173,148,27,76,126
Michael Jackson\jacksmi02,1,1,1.55,69,0,40,64,43,4,13,55
Jason Jacome*\jacomja01,0,1,14.4,1,1,0,5,10,2,3,2
Mike James\jamesmi01,0,0,1.93,11,0,0,14,10,0,7,12
Mike Jerzembeck\jerzemi01,0,1,12.79,3,2,0,6.1,9,2,4,1
Jose Jimenez\jimenjo01,3,0,2.95,4,3,0,21.1,22,0,8,12
Doug Johns*\johnsdo04,3,3,4.57,31,10,1,86.2,108,9,32,34
Jason Johnson\johnsja02,2,5,5.7,13,13,0,60,74,9,27,36
Jonathan Johnson\johnsjo08,0,0,8.31,1,1,0,4.1,5,0,5,3
Mike Johnson\johnsmi02,0,2,14.73,2,2,0,7.1,16,4,2,4
Randy Johnson*\johnsra05,19,11,3.28,34,34,0,244.1,203,23,86,329
Randy Johnson*\johnsra05,9,10,4.33,23,23,0,160,146,19,60,213
Randy Johnson*\johnsra05,10,1,1.28,11,11,0,84.1,57,4,26,116
John Johnstone\johnsjo07,6,5,3.07,70,0,0,88,72,10,38,86
